shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4320740154242,-86.8823329510544,75,4557.56
c9799aec-2e5d-4861-bab9-3f93198d76dc,40.4420670479058,-86.9417866561438,84,5891.02
1545ee20-7633-4938-adf4-673f4586f25a,40.4023849596136,-86.8053154333255,159,12567.19
87c84019-852c-46c9-a3ea-0a644c510801,40.4499664727554,-86.9407808535108,9,445.51
8efabf15-d065-404b-b1bb-535c12a9b3be,40.403017373997,-86.8135418832279,14,1350.71
8efabf15-d065-404b-b1bb-535c12a9b3be,40.3988109766728,-86.8058737698718,6,280.18
b3ee4a19-563f-496d-909b-28caa69cda68,40.4314507953989,-86.9191946486739,136,8320.53
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.446074424387,-86.9221621946251,48,2368.62
5e8eb583-bb9c-4d47-82e1-f2be2c036dcf,40.4742733726876,-86.9389547464574,151,7856.93
b3ee4a19-563f-496d-909b-28caa69cda68,40.4507274383757,-86.9198106528038,83,5379.14
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.3833050736741,-86.8425278724321,217,14112.57
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.389442,-86.839644,13,909.61
30f49bff-7d39-4b55-aa46-8bf394572be7,40.417357860483,-86.8753359814232,23,2002.11
d9e6d371-9610-44d9-9781-33cddd4eee53,40.459387766407,-86.9351691815848,59,5720.08
8d44af5f-359d-49f6-8b0b-cdbb682b958f,40.3820092681809,-86.8867361375818,48,4323.45
1545ee20-7633-4938-adf4-673f4586f25a,40.3883677952509,-86.814294565576,118,10216.8
79578537-88cd-4d42-9745-49cf6f3c5712,40.3879838972191,-86.893895149915,155,12350.33
78dd6ba2-f1b9-40c8-b5b9-37967e740e9e,40.4207112145848,-86.8948077794795,129,8333.67
d9e6d371-9610-44d9-9781-33cddd4eee53,40.4598798298731,-86.9620200131139,23,1893.44
c9799aec-2e5d-4861-bab9-3f93198d76dc,40.4460123755751,-86.9443390811422,93,6384.47
4fd2167d-7855-4648-8faf-21606791a86c,40.457419427043,-86.9334015910162,6,80.62
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3817283517495,-86.8691091943149,136,10083.07
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4344617216296,-86.8872085405329,38,2357.22
03e74389-fe52-4946-8b43-0d5ae70eecd0,40.4537162315223,-86.9621487816002,74,5558.03
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4148956778032,-86.8390217217921,180,10420.37
991a95f3-1510-4bce-a830-fde22f082f7f,40.4369246629397,-86.8972715905095,36,2233.95
79578537-88cd-4d42-9745-49cf6f3c5712,40.3671833844845,-86.8686930678774,83,6236.28
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.4182681114532,-86.8884775300565,114,7306.55
1934197d-f175-49a7-839e-fc3ac6bf46fa,40.418235212735,-86.8952865863221,61,4307.93
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.431711454048,-86.9056960563097,84,4530.3
bb15a4a7-6c6e-4815-834c-680d5a343d63,40.3844015470363,-86.8411453863479,6,225.44
f625fb8e-e48c-44b1-8eb4-7151f0d3b71d,40.4239813993153,-86.9103453275116,57,2605.53
53fab52c-1139-47cc-9b3f-f3b9d78d86eb,40.4482244385382,-86.9445620946158,60,1775.48
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.431216886889,-86.9326920501694,82,6198.37
d62644f1-4b8e-4aa1-bc8d-0afb59c6b016,40.4296406277655,-86.900187088953,30,1865.25
79578537-88cd-4d42-9745-49cf6f3c5712,40.3671808925246,-86.8732621177778,91,6628.57
fd8cfb59-da55-4eaa-b557-6b2950043674,40.430362,-86.913149,71,6119.89
f923454e-839e-4ce8-bd28-621a56212d40,40.4228976109654,-86.8868493081738,17,1036.91
78dd6ba2-f1b9-40c8-b5b9-37967e740e9e,40.3836685595871,-86.8425724756716,1,71.83
1934197d-f175-49a7-839e-fc3ac6bf46fa,40.4182441955574,-86.8905669651836,57,3908.19
3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,40.4230503852013,-86.8617672681256,61,3935.56
3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,40.4207112145848,-86.8948077794795,0,0
5c65de3b-4778-4554-ad22-3398f528e3ef,40.3932896490866,-86.848649641791,60,5512.42
2e9b92bf-5c8d-47d6-b94e-566a87fcac71,40.4482492469557,-86.9446535559685,39,5750.21
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.427659406579,-86.9307024423978,94,6632.75
